#Classification	SRR5091496_bracken_P.kreport
k__Bacteria	9147106
k__Bacteria|p__Bacteroidetes	5296414
k__Bacteria|p__Firmicutes	2530742
k__Bacteria|p__Actinobacteria	1179708
k__Bacteria|p__Proteobacteria	111607
k__Bacteria|p__Fusobacteria	25988
k__Bacteria|p__Verrucomicrobia	2503
k__Bacteria|p__Spirochaetes	103
k__Bacteria|p__Candidatus_Saccharibacteria	36
k__Bacteria|p__Synergistetes	2
k__Eukaryota	731
k__Eukaryota|k__Viridiplantae	563
k__Eukaryota|k__Viridiplantae|p__Streptophyta	563
k__Eukaryota|k__Fungi	167
k__Eukaryota|k__Fungi|p__Ascomycota	156
k__Eukaryota|k__Fungi|p__Basidiomycota	10
k__Archaea	7
k__Archaea|p__Euryarchaeota	7
k__Viruses	25068
k__Viruses|k__Heunggongvirae	25068
k__Viruses|k__Heunggongvirae|p__Uroviricota	25068
