#Classification	NS70_bracken_P.kreport
k__Bacteria	1295925
k__Bacteria|p__Firmicutes	1083329
k__Bacteria|p__Actinobacteria	106088
k__Bacteria|p__Bacteroidetes	100617
k__Bacteria|p__Proteobacteria	5880
k__Bacteria|p__Spirochaetes	5
k__Bacteria|p__Verrucomicrobia	3
k__Eukaryota	479
k__Eukaryota|k__Fungi	475
k__Eukaryota|k__Fungi|p__Ascomycota	475
k__Eukaryota|k__Viridiplantae	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4
k__Viruses	1215
k__Viruses|k__Heunggongvirae	1215
k__Viruses|k__Heunggongvirae|p__Uroviricota	1215
