#Classification	NS70_bracken_C.kreport
k__Bacteria	1295925
k__Bacteria|p__Firmicutes	1083329
k__Bacteria|p__Firmicutes|c__Clostridia	1047249
k__Bacteria|p__Firmicutes|c__Bacilli	19671
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	15984
k__Bacteria|p__Firmicutes|c__Negativicutes	348
k__Bacteria|p__Firmicutes|c__Tissierellia	75
k__Bacteria|p__Actinobacteria	106088
k__Bacteria|p__Actinobacteria|c__Actinomycetia	70044
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	36044
k__Bacteria|p__Bacteroidetes	100617
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	100617
k__Bacteria|p__Proteobacteria	5880
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	3259
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	649
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1881
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	90
k__Bacteria|p__Spirochaetes	5
k__Bacteria|p__Spirochaetes|c__Spirochaetia	5
k__Bacteria|p__Verrucomicrobia	3
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	3
k__Eukaryota	479
k__Eukaryota|k__Fungi	475
k__Eukaryota|k__Fungi|p__Ascomycota	475
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	475
k__Eukaryota|k__Viridiplantae	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	4
k__Viruses	1215
k__Viruses|k__Heunggongvirae	1215
k__Viruses|k__Heunggongvirae|p__Uroviricota	1215
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	1215
