#Classification	GQ8_bracken_P.kreport
k__Bacteria	2599747
k__Bacteria|p__Firmicutes	2432067
k__Bacteria|p__Actinobacteria	115537
k__Bacteria|p__Tenericutes	1
k__Bacteria|p__Bacteroidetes	7360
k__Bacteria|p__Proteobacteria	39614
k__Bacteria|p__Fusobacteria	5120
k__Bacteria|p__Candidatus_Saccharibacteria	27
k__Bacteria|p__Spirochaetes	15
k__Bacteria|p__Synergistetes	2
k__Eukaryota	8716
k__Eukaryota|k__Metazoa	7919
k__Eukaryota|k__Metazoa|p__Chordata	7919
k__Eukaryota|k__Fungi	733
k__Eukaryota|k__Fungi|p__Basidiomycota	733
k__Eukaryota|k__Viridiplantae	63
k__Eukaryota|k__Viridiplantae|p__Streptophyta	63
k__Viruses	171
k__Viruses|k__Heunggongvirae	171
k__Viruses|k__Heunggongvirae|p__Uroviricota	171
