#Classification	NS34_bracken_O.kreport
k__Bacteria	11116691
k__Bacteria|p__Bacteroidetes	8833852
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	8833108
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	8833108
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	619
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	619
k__Bacteria|p__Bacteroidetes|c__Cytophagia	73
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	73
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	38
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	38
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	11
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	11
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis	2
k__Bacteria|p__Chlorobi	7
k__Bacteria|p__Chlorobi|c__Chlorobia	7
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	7
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	1
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales	1
k__Bacteria|p__Firmicutes	1482128
k__Bacteria|p__Firmicutes|c__Clostridia	1266264
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	1266204
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	46
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales	7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	5
k__Bacteria|p__Firmicutes|c__Clostridia|o__Koleobacterales	1
k__Bacteria|p__Firmicutes|c__Negativicutes	97793
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	95399
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2321
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	71
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	53551
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	53551
k__Bacteria|p__Firmicutes|c__Bacilli	34283
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	21713
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	12569
k__Bacteria|p__Firmicutes|c__Tissierellia	30235
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	30235
k__Bacteria|p__Firmicutes|c__Limnochordia	1
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	1
k__Bacteria|p__Actinobacteria	228789
k__Bacteria|p__Actinobacteria|c__Actinomycetia	198102
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	187336
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	6740
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	3596
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	234
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	151
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	24
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	6
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	5
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	4
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	1
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	30679
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	27647
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	3031
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	2
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	2
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	2
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	2
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	2
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	1
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	1
k__Bacteria|p__Cyanobacteria	62
k__Bacteria|p__Cyanobacteria|o__Synechococcales	40
k__Bacteria|p__Cyanobacteria|o__Chroococcales	14
k__Bacteria|p__Cyanobacteria|o__Nostocales	6
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	1
k__Bacteria|p__Chloroflexi	62
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	51
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	51
k__Bacteria|p__Chloroflexi|c__Chloroflexia	6
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	6
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	4
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobiales	4
k__Bacteria|p__Chloroflexi|c__Anaerolineae	1
