#Classification	GQ43_bracken_C.kreport
k__Bacteria	22812788
k__Bacteria|p__Bacteroidetes	16451906
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	16451232
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	673
k__Bacteria|p__Firmicutes	6040386
k__Bacteria|p__Firmicutes|c__Clostridia	5688141
k__Bacteria|p__Firmicutes|c__Bacilli	102704
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	247333
k__Bacteria|p__Firmicutes|c__Negativicutes	449
k__Bacteria|p__Firmicutes|c__Tissierellia	1757
k__Bacteria|p__Actinobacteria	113157
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	106121
k__Bacteria|p__Actinobacteria|c__Actinomycetia	7036
k__Bacteria|p__Proteobacteria	206779
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	202419
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	1209
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2734
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	415
k__Bacteria|p__Spirochaetes	357
k__Bacteria|p__Spirochaetes|c__Spirochaetia	357
k__Bacteria|p__Verrucomicrobia	95
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	95
k__Bacteria|p__Fusobacteria	56
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	56
k__Bacteria|p__Candidatus_Saccharibacteria	49
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	49
k__Eukaryota	742
k__Eukaryota|k__Fungi	564
k__Eukaryota|k__Fungi|p__Ascomycota	564
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	563
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	1
k__Eukaryota|k__Viridiplantae	177
k__Eukaryota|k__Viridiplantae|p__Streptophyta	177
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	177
k__Viruses	1294
k__Viruses|k__Heunggongvirae	1294
k__Viruses|k__Heunggongvirae|p__Uroviricota	1294
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	1294
