#Classification	GQ43_bracken_P.kreport
k__Bacteria	22812788
k__Bacteria|p__Bacteroidetes	16451906
k__Bacteria|p__Firmicutes	6040386
k__Bacteria|p__Actinobacteria	113157
k__Bacteria|p__Proteobacteria	206779
k__Bacteria|p__Spirochaetes	357
k__Bacteria|p__Verrucomicrobia	95
k__Bacteria|p__Candidatus_Saccharibacteria	49
k__Bacteria|p__Fusobacteria	56
k__Eukaryota	742
k__Eukaryota|k__Fungi	564
k__Eukaryota|k__Fungi|p__Ascomycota	564
k__Eukaryota|k__Viridiplantae	177
k__Eukaryota|k__Viridiplantae|p__Streptophyta	177
k__Viruses	1294
k__Viruses|k__Heunggongvirae	1294
k__Viruses|k__Heunggongvirae|p__Uroviricota	1294
