feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales.unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales.Family.XIII.Incertae.Sedis	Clostridiales.unclassified	Coriobacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes.unclassified	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Porphyromonadaceae	Prevotellaceae	Proteobacteria.unclassified	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Tissierellia.unclassified	Veillonellaceae
NS36	263158	0	4519115	204	1889	3515026	393740	694409	0	0	0	8392	0	271652	0	1478306	505775	105895	45002	0	52256	1587888	126330	1643556	455	0	0	112645	122965	0	1562	22463	0	950	1383	0	1462323	2762751	0	571	20820	0	682054	549	0
NS38	0	0	2015005	92	0	3096617	171319	4428820	0	0	0	1919	3285	1301	0	39207	342534	0	49956	25402	141165	268972	116191	1326301	63594	0	0	80179	61631	552	0	6931	0	0	158	0	377623	1121150	0	0	6105	229	320792	0	175089
NS39	51656	0	77265	805	0	2400312	150893	2560235	0	0	0	328	2572	2298	0	0	278500	3599	49607	1169	14692	1262559	95038	2277701	0	0	0	119498	36402	15382	15254	10443	0	0	806565	0	826810	8589923	31779	0	53555	0	142664	0	130402
NS4	0	0	0	0	0	5901041	0	1744227	0	0	0	0	0	211	0	0	146830	201	4344	152716	12924	3042594	11452	7196288	88732	0	0	26097	74980	56783	1236	4140	0	0	7161	0	155737	4286158	0	0	81127	55546	64692	0	19713
NS40	61261	0	0	15680	0	1044827	220471	3431644	0	0	0	4613	0	48882	0	1113491	779440	0	124357	4756	77168	472560	753419	6274943	709091	754	0	16637	23821	0	1664	9002	0	2571	737772	0	707262	4490595	48565	0	28442	1097	361546	0	387390
NS41	110340	0	38536	1335	0	3940566	529424	352427	0	4618	0	193	0	52575	0	65933	124918	0	10296	0	159591	130912	932676	8337472	179165	0	0	105849	99732	0	0	99	0	1085	16843638	0	1898036	5929891	29862	0	17877	13949	1112898	0	63501
NS46	0	187	23622	0	799	2633715	0	1609740	0	2860	0	0	24801	45159	514	50140	1489	388	316115	22697	345653	3925422	145355	5636200	16314	0	0	63928	14862	0	6926	22548	0	3438	118669	0	27889	3949468	0	5689	0	4453	76764	0	46681
NS51	444	864	0	3990	10023	514261	11602	3638682	41843	604	0	0	0	1367880	0	36437	1404235	153	117383	169726	98888	1441580	23119	15359178	78645	0	1289	0	1152	920	52296	218277	13406	17631	12635	0	1592	7604009	0	0	343137	0	22369	3142	10718
NS55	0	481	3185	0	0	1163742	0	926868	0	0	0	0	1329	38628	0	36056	380977	0	129942	11247	213834	2111594	9472	9442081	5538	0	0	12145	0	0	0	27045	0	0	511	0	1125	6762182	0	0	149383	0	0	0	13780
NS58	8398	45190	0	683	44161	28070	0	2505661	37637	0	949	0	0	14619	1169	0	776512	0	84732	0	739676	659702	0	29192117	608	54	2586	0	0	4431	0	64088	0	0	199286	0	392	896973	0	0	639243	0	1126	0	3819
NS6	0	0	271	0	4978	12105734	0	492	0	0	0	0	0	407652	0	0	303629	0	117239	0	53856	3000141	58253	8264989	2406	0	0	172283	57042	1416	52297	25370	0	24695	102788	864	1575720	3896380	0	0	52688	12450	1198148	5867	2342
NS62	57	207	193238	0	266	183980	6604	821440	0	0	0	0	4697	27991	0	33743	275	0	137885	0	77859	774621	73578	10885489	11453	0	0	1778	0	0	0	54883	0	0	0	0	129766	5135313	0	0	66929	0	33315	0	0
NS67	0	23309	191036	557	7652	298411	0	5665786	10380	0	0	0	0	54762	76	669	804274	2165	202338	53055	86424	776352	343834	7865003	796725	0	0	0	6992	134	14567	89444	0	191	249808	0	0	7402885	0	0	73113	0	11766	0	2237130
NS7	5942	26279	0	567	6064	274521	0	6313604	0	0	0	0	0	53947	604	0	1567400	1712	66513	10598	192600	1388090	141760	4871044	3192039	0	904	9940	2852	14040	0	1051394	0	0	1283488	0	626152	6381530	31574	0	249887	2416	30691	0	531626
NS70	29159	2400	0	677	1259	315652	0	2244846	33565	0	0	0	0	1559	1799	0	1140855	0	70153	0	68506	4188470	30670	15719840	1745	0	1773	0	10484	1064	0	19189	6733	0	3390206	0	278	3981890	0	0	632541	0	24311	0	3033
NS71	32213	7952	612107	1108	0	1444377	0	5553113	0	0	515	0	10290	415841	732	95928	986053	0	113458	0	942574	1944862	126337	4334802	9942	639	680	2630	1847207	0	826	263706	0	0	3288	0	34216	4014307	0	0	214469	0	32877	0	0
NS72	0	64890	48989	109203	25606	9936	0	9314622	151	0	1797	0	0	5762	10018	1167	1638348	0	24460	0	115407	1742959	240	5420335	4984252	0	1302	0	1059	0	2093	26206	0	0	115961	0	314	784425	61654	235	721275	0	1215	0	199287
NS77	1112605	0	0	253	681	3214205	86924	204034	0	0	0	2177	0	617843	0	5995	228184	7140	9653	691138	44096	745064	597672	2773362	0	0	1261	62783	181319	1313	0	7716	0	0	5582614	0	744869	4750476	0	0	164632	10918	506751	0	4676
NS78	0	0	0	5319	1209	16172	0	2378848	6115	0	359	0	0	9241	0	0	568510	0	36577	0	1746462	2406537	61038	6593007	52655	0	0	0	327	0	0	135376	1252	0	120568	0	6261	1628903	0	0	754847	0	1204	0	0
NS79	3109	0	0	400	0	867541	0	4772175	31369	0	0	0	0	11190	0	0	755781	769	61873	0	1232	2897624	37039	5088523	0	231	0	7214	7212	0	0	15376	7181	0	0	3561	158412	5962547	0	0	44122	55976	16395	0	0
NS81	0	759	1836	0	0	11271	0	1151143	41969	0	0	0	0	63893	0	70689	0	0	115212	0	129920	1699355	3499	10502878	2245	266	0	0	0	0	217	511621	9750	0	0	0	2903	2776228	0	0	196208	0	542	0	20046
NS83	290413	9293	130068	1183	5961	368222	14006	1347789	2290	0	0	0	1868	105773	0	851	1932966	1676	91199	41219	1891452	1039978	91208	6766148	400133	0	0	9797	499636	131	0	148972	433	0	463661	768	115721	5217219	0	0	719852	8117	72966	0	0
NS86	0	1374	0	3145	5334	29574	0	1796577	10031	0	0	0	0	1978	0	0	249635	0	5434	594	59148	297333	45891	7754053	305878	0	3300	0	23764	5092	0	24376	0	0	236588	0	78057	5832027	0	3166	407601	0	7652	0	25917
NS9	141708	0	89	0	0	2654129	0	50367	0	0	0	0	0	295651	0	1667	253716	16772	38565	13344	86043	6295155	172597	7076902	580	63	0	229509	144728	0	0	20649	0	0	23505	0	988427	4474335	0	0	199690	0	475328	0	0
