feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales.unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales.Family.XIII.Incertae.Sedis	Clostridiales.unclassified	Coriobacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes.unclassified	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Porphyromonadaceae	Prevotellaceae	Proteobacteria.unclassified	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Tissierellia.unclassified	Veillonellaceae
NS11	0.0173876169327828	0	0.00126552983998274	4.60751155333522e-06	1.49137873963219e-05	0.275218668860812	0	0.0528445200076339	0	0	0	0	2.30375577666761e-05	0.000786591139043948	0	2.55433973834023e-05	0.015914910739972	6.22418227380372e-06	0.00038990056100899	0.000927322325260731	0.00322796601079144	0.00787431807818591	0.000901778927877328	0.0302636717194902	0.00474335231062259	0	0	0.0060343447144527	0.0119006365075127	0	0	0	0	0	0.42554491705388	0	0.00207152102767231	0.0685711694422074	0	0	0.000518830050966353	0.000423001894010583	0.0633376425691387	0	0.00977746285032143
NS13	0	0	0	0	0	0.125217612848346	0	5.8794368647811e-05	0	0	0	0	0	0.000228364064682839	0	0.00225516212451461	7.47178434899265e-05	0	0.00869138472259718	0	0.0638398135177364	0.162922142897034	0.000476670750502077	0.491820061212746	0.00058109199898595	0	0	0	0	0	0.000759044485863342	0.00141883519704975	0	0	0.000310775702507538	0	0.00437225700442462	0.131691653699178	0	0	0.00483533921269364	0	0	0.00044627834900054	0
NS21	0	0	3.43342646016744e-06	0	4.77440622857246e-05	0.32515568888479	0	0.00377213721954453	0	0	0	0	0	0.00073802473485769	0	0	0.000134097976840502	0.000681340807449266	0.00188057836651756	0.00133906871028096	0.00396334020439706	0.00346092626266444	0.000696046237759794	0.364707725199818	0.000210184002830439	0	0	0.00719516622788448	0	8.08150850765827e-05	0	0.00353710946110137	0	0	0.000172902174003527	0	4.51204062171061e-05	0.250291541634069	0	0	0.0056292970263385	0	0.010050319456039	0	0.0162073924327734
NS25	0.000971695187929592	0	0	0	0	0.397073877593221	0	0.0078428163204616	0	0	0	0	0	0.0764765363787638	0	0.030143988474827	5.04940142629232e-05	0.00148324736958102	0.000637043648906585	0	0.00882810165087972	0.0150226670535663	0	0.0921229772451367	0	0	0	0.00109830772754491	0	0	1.02955624913074e-05	0.000232313647859412	0	0	0.000159512581531989	2.10029474822671e-05	0.0183258953232773	0.333247636121693	0	0	0.00012070975045364	0.000712658835648298	0.0154182225644823	0	0
NS27	0	0	0.00929232574418364	0.00011900224563871	1.46916352640383e-05	0.176444892277146	0	0.300353164651694	0	0	0	0	0	0.00111309171173177	0	0	0.015084881367939	0	0.000929846951893042	0	0.0199029363726201	0.0234935720311511	5.34686483397272e-05	0.206404252988	0.000862488030212769	0	0	0	0	0.000497868355023455	0	0.00232390505802283	0	0	0.00298716561003387	0	0.000402684366555231	0.183370974341682	0	0	0.0270603894325115	8.41430019667648e-06	0.0144223331376378	0	0.0148576507425219
NS28	0.00388199947177845	0	0.078735929388332	0.000117209254339124	0	0.0378351361591051	0.0310186158266698	0.0407738908141202	0	0.00179908406315685	0	0	0	0.000140383707668532	0	2.72411242261557e-05	0.00281447050747206	0.000356251512119153	0.000802136907428253	0.000447668045565209	0.000630556820277825	0.0334448585330538	0.0042054390776211	0.0566754096377092	9.74886858809253e-06	0	0	0.00276032250594277	0.00974313068258068	0.000254139077136446	1.27570908952754e-05	0.000383046973781281	0	0.000171914334073449	0.391593834726372	0	0.0167389744892164	0.207885597974152	0	0	0.00260857440289155	0.000301267893282311	0.0216373074382586	0	0.0521931026921863
NS29	0	5.82316362207378e-05	0	6.19700466432375e-06	1.06090025503369e-05	0.0416185781350007	0.00843880478101604	0.268292783143501	0	0	0	0	0	0.00489526321171083	0.000142295351667217	0.00487673955646421	0.0080188229975154	2.83243528407406e-05	0.0112765614060519	0	0.0366520830490233	0.00164008443553573	0.000865627249361136	0.309965315634329	4.35474295161446e-05	3.05135120971593e-05	0	0	0	0	0.000301464069295445	0.0116561279417417	0	0	0.000311163728770039	0	0.000902135689883565	0.282463716200897	0	0	0.00687497044635004	0	1.9129883963782e-05	0	0.000610910150033524
NS30	0	0.000116946177256141	4.41438536077703e-06	1.71670541807996e-06	0.000134568683894798	0.0188971078593752	1.1000928597492e-05	0.116228839635014	0	0	0	0	0	0.000418665913184806	1.61160100472812e-06	0.000560241557969726	0.0109326457636177	0	0.00247797668398729	0.00922291227162344	0.00484930742322692	0.0312032230618702	0.00190596343172216	0.746774984939413	0.00155792768430979	0	0	0	0	0	9.00394474380712e-06	0.00305867856775617	0	0	0.00113996246721399	0.0162595126063109	0.000347229946910009	0.0284503633021635	0	0	0.00301607624554423	0.00218501564917128	4.63160114837082e-05	0	0.000187786551855277
NS32	0.000178857670834262	0	0.00390722126345372	6.21033579285632e-06	0	0.0510261429835511	0.00151845010259705	0.0234154500733855	0	0.00115921667884583	0	0	0	0.0015783453411326	0	7.40640046407309e-06	0.00612822135292855	0.00175964114379665	0.000342902540740378	0.000418806644875288	0.000256049844615098	0.259600408594093	0.00250662953345887	0.208599520976099	0.0145842145684817	0	0	0.00224883159432431	0.00526590472746861	0	0	0.000477321808790201	0	1.44907835166647e-05	0.150649405613362	8.9244825467713e-06	0.00390588719132043	0.22862647383344	0	0	0.00110557777859049	0.000367927893861221	0.00533734659033014	0	0.0249982116533041
NS34	0.0102916378517117	0.00110077964450568	0.0116277886142347	0.00073357034145331	0.000670396947675911	0.597601911184905	0	0.0321917774582152	0	0.00137981406931751	0	0	0	0.00333461763577927	0	0.00179885680712292	0.0093257322867831	0	0.00485015404932525	0.0166357198887255	0.0167185373060097	0.0276755718085047	0.018851967549859	0.116072382869161	0	0	0	0.00971700551863124	0	0	0.0135370537625672	0.00862662827748255	0	0.00286150918782231	0.00213735904855065	0.00040417578365144	0.0130230946748177	0.025305520372415	0	0	0.000281355991226265	3.0850046007196e-05	0.0518351312823485	0.000243094790896067	0.00113600495029392
