#Classification	S-4-POLCOM-B_bracken_P.kreport
k__Bacteria	106383
k__Bacteria|p__Proteobacteria	79899
k__Bacteria|p__Actinobacteria	6779
k__Bacteria|p__Cyanobacteria	3617
k__Bacteria|p__Firmicutes	2339
k__Bacteria|p__Acidobacteria	12139
k__Bacteria|p__Bacteroidetes	1543
k__Bacteria|p__Planctomycetes	46
k__Bacteria|p__Verrucomicrobia	15
k__Bacteria|p__Chlamydiae	2
k__Eukaryota	411
k__Eukaryota|k__Metazoa	326
k__Eukaryota|k__Metazoa|p__Chordata	326
k__Eukaryota|k__Fungi	49
k__Eukaryota|k__Fungi|p__Ascomycota	43
k__Eukaryota|k__Fungi|p__Basidiomycota	6
k__Eukaryota|k__Viridiplantae	36
k__Eukaryota|k__Viridiplantae|p__Streptophyta	36
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
