#Classification	S-10-POLPIL-B_bracken_P.kreport
k__Bacteria	281180
k__Bacteria|p__Proteobacteria	207807
k__Bacteria|p__Actinobacteria	51264
k__Bacteria|p__Cyanobacteria	4769
k__Bacteria|p__Chloroflexi	17
k__Bacteria|p__Firmicutes	989
k__Bacteria|p__Armatimonadetes	8
k__Bacteria|p__Acidobacteria	11396
k__Bacteria|p__Bacteroidetes	3199
k__Bacteria|p__Planctomycetes	1693
k__Bacteria|p__Verrucomicrobia	28
k__Bacteria|p__Chlamydiae	4
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	5733
k__Eukaryota|k__Viridiplantae	3503
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3486
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	16
k__Eukaryota|k__Fungi	1492
k__Eukaryota|k__Fungi|p__Ascomycota	1243
k__Eukaryota|k__Fungi|p__Basidiomycota	248
k__Eukaryota|k__Metazoa	736
k__Eukaryota|k__Metazoa|p__Chordata	736
k__Eukaryota|p__Bacillariophyta	1
