#Classification	S-17-POLJUN-G_bracken_C.kreport
k__Bacteria	24617
k__Bacteria|p__Proteobacteria	24060
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	14773
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	5111
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	4175
k__Bacteria|p__Actinobacteria	280
k__Bacteria|p__Actinobacteria|c__Actinomycetia	280
k__Bacteria|p__Acidobacteria	243
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	243
k__Bacteria|p__Bacteroidetes	32
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	26
k__Bacteria|p__Bacteroidetes|c__Cytophagia	3
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2
k__Bacteria|p__Planctomycetes	1
k__Bacteria|p__Planctomycetes|c__Planctomycetia	1
k__Eukaryota	1456
k__Eukaryota|k__Viridiplantae	1447
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1447
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	1443
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	4
k__Eukaryota|k__Fungi	8
k__Eukaryota|k__Fungi|p__Basidiomycota	8
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	8
