#Classification	S-15-POLJUN-G_bracken_P.kreport
k__Bacteria	266626
k__Bacteria|p__Proteobacteria	238316
k__Bacteria|p__Actinobacteria	15632
k__Bacteria|p__Cyanobacteria	8847
k__Bacteria|p__Firmicutes	329
k__Bacteria|p__Acidobacteria	2526
k__Bacteria|p__Bacteroidetes	833
k__Bacteria|p__Planctomycetes	122
k__Bacteria|p__Verrucomicrobia	10
k__Bacteria|p__Chlamydiae	8
k__Eukaryota	36985
k__Eukaryota|k__Viridiplantae	35029
k__Eukaryota|k__Viridiplantae|p__Streptophyta	35023
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	5
k__Eukaryota|k__Metazoa	1668
k__Eukaryota|k__Metazoa|p__Chordata	1668
k__Eukaryota|k__Fungi	288
k__Eukaryota|k__Fungi|p__Ascomycota	161
k__Eukaryota|k__Fungi|p__Basidiomycota	126
