#Classification	NS30_bracken_P.kreport
k__Bacteria	5164880
k__Bacteria|p__Firmicutes	4396207
k__Bacteria|p__Actinobacteria	286622
k__Bacteria|p__Bacteroidetes	128185
k__Bacteria|p__Proteobacteria	353126
k__Bacteria|p__Candidatus_Saccharibacteria	440
k__Bacteria|p__Verrucomicrobia	139
k__Bacteria|p__Spirochaetes	146
k__Bacteria|p__Fusobacteria	12
k__Eukaryota	290
k__Eukaryota|k__Fungi	221
k__Eukaryota|k__Fungi|p__Ascomycota	221
k__Eukaryota|k__Viridiplantae	68
k__Eukaryota|k__Viridiplantae|p__Streptophyta	68
k__Archaea	15
k__Archaea|p__Euryarchaeota	15
k__Viruses	58
k__Viruses|k__Heunggongvirae	58
k__Viruses|k__Heunggongvirae|p__Uroviricota	58
