feature	Alcaligenaceae	Alicyclobacillaceae	Bacillaceae	Burkholderiaceae	Burkholderiales.unclassified	Comamonadaceae	Corynebacteriaceae	Enterobacteriaceae	FGB1056	FGB796	Lactobacillaceae	Micrococcaceae	Moraxellaceae	Oxalobacteraceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae
SRR20002340	0	0	0	0.00321521726030778	0.0571149415062884	0	0	0	0	0	0	0	0.0122338945018494	0	0	0.064564030312856	0.862871916418698	0	0	0
SRR20002343	0	0.00233800609190684	0.00700330050057752	0.00863814398756738	0.0495383222662736	0	0	0	0	0.0207205215728718	0	0.000202680783507641	0.0186516081925908	7.94263693632397e-05	0	0.13014862300513	0.494660921173635	0.226609939013946	0	0.0414085070426309
SRR20002345	0.0909157099836764	0.000760183887988879	0.000872329522438537	0.00931641759640591	0.0374648175851759	0	0	0	0.0550354315416461	0.000959793861823621	0	0.00156571965565891	0.02210410508555	3.42452969020964e-05	0	0.431709170427736	0.33804149604436	0	0	0.0112205795106378
SRR20002351	0.0049728406029635	0	0	0.0152399447047313	0.0418345181863611	0	0.000185242979434679	0	0.0210923304619874	0	0	0.00479836756419363	0.0141220248637244	0.000743604569901223	0	0.386035359869191	0.443450870881335	0.0111514358963558	0.0563734594198209	0
SRR20002352	0	0	0	0.000561465762519634	0.00361108864648204	0	0	0	0.000196081120141472	0	0	0	0.000243049890659941	0	0	0.0127896501992718	0.0467963357448648	0.933276056627277	0.00252627200878305	0
SRR20002353	0	0	0	0.0178769773288444	0.0871944951958968	0	0	0	0	0	0	0	0.0176594916531242	0.0013044825351235	0	0.0603518434931652	0.815612709793846	0	0	0
SRR20002355	0	0	0	0.013158275991159	0.0709478293422716	0	0	0	0	0	0	0	0.0186670653671812	0	0	0.190695906249746	0.706530923049642	0	0	0
SRR20002356	0	0	0	0	0.00141808548516078	0	6.96039801238568e-05	0.00111748807649401	0	0.00202157493920169	0	0	0	0	0	0.0226312369659855	0.964654181038423	0	0.00409286700706327	0.0039949625075484
SRR20002360	0	0	0	0.0172407256010142	0.0691560326544153	0	0	0	0	0	0	0	0.00926551262455716	0	0	0.211687342267088	0.692650386852925	0	0	0
SRR20002363	0	0	0	0.000879209984011381	0.00386431362831819	0	0	0	0	0	0	0	5.7705894725254e-05	6.00587101754253e-06	0	0.00203010823632149	0.0380466975665635	0.94736937586555	0.00774658295349295	0
SRR20002365	0	0	0	0.00617840137774251	0.0485107000679943	0	0	0	0.00195813871141232	0	0	0.0281983514342728	0.00601076915554964	6.01289492648325e-05	0	0.366911099955875	0.542172410347888	0	0	0
SRR20002368	0.000105678095530883	0	0	0.000585592382574801	0.0030723328223649	0	0	0	0.000154506840254911	0	0	0	0.000613796711657272	0	0	0.0076898221858073	0.0345805346412621	0.953197736320548	0	0
SRR20002369	0	0	0	0	0	0	0	0.605559113730724	0	0	0.114487645169815	0	0	0	0.00620764714049616	0	0	0.273745593958965	0	0
SRR20002371	0	0	0	0	0.00530034073619018	0	0	0.0127401047210178	0	0.01942982048846	0	0	0	0	0	0.276446342979192	0.192648098806352	0.382435299412105	0.089809344886457	0.0211906479702267
SRR20002373	0.0150197077765943	0.00174875618536546	0.00491683183446367	0.0184556473903488	0.0783749286520061	0	0	0	0.00108448950791232	0.00478110210740626	0	0	0.023487984323666	0	0	0.0636855564694091	0.761434330632222	0	0	0.0270106651206062
SRR20002375	0	0.000417464211445137	0.000564403828993425	0.0130727604115477	0.0706166501075773	0	0	0	0	0.00285218555651677	0	0	0.0101067209791823	0.000410652441095216	0	0.143994986537022	0.744534284126726	0	0	0.0134298917998935
SRR20002377	0	0	0	0	0.00620976197414552	0	0	0	0	0	0	0	0	0	0	0.0503029775012543	0.0843920772209588	0.859095183303641	0	0
SRR20002378	0	0	0	0.00864226488275875	0.0782906015973923	0	0	0	0	0	0	0	0	0	0	0.0441156912481955	0.868951442271653	0	0	0
SRR20002379	0.0014021209968551	0	0	0.0214221626554775	0.0913960260069468	0	0	0	0	0	0	0	0.00704017301522108	0.00348405823460965	0	0.0252252574592812	0.850030201631609	0	0	0
SRR20002380	0	0	0.00049950211022712	0	0.000240023286450863	0	0	0	0	0	0	0	0	0	0	4.5145445727435e-06	0.00658209849790353	0.992673861560846	0	0
SRR20002382	0	0.00298800386118219	0.0130003971103577	0.025051238589528	0.043413786670458	0	0	0	0	0.0254749261836611	0	0.00128241616494607	0.0046427593673792	0	0	0.144123966551903	0.672419047157048	9.237524890356e-05	0	0.0675110830946328
SRR20002384	0	7.14021632665219e-05	0.000410890976343543	0.00140307441069123	0.00703464625703727	0	0.888903052508187	0	0	0.00340583938280496	0	0	0.000604071062236403	0	0	0.0153181732961166	0.0780035779930648	0	0	0.00484527195025153
SRR20002386	0	0	0	0.000930219642906728	0.057770804987088	0	0	0	0	0	0	0	0	0	0	0.154633974768371	0.786665000601635	0	0	0
SRR20002388	0	8.01085779340922e-05	0.000358177776339932	0.0203198489028976	0.0829870948162047	0.000377434646035627	0	0	0	0	0	0.00657891696283732	0.0075810444618013	0.00115464190695389	0	0.0694371910235257	0.802177258715274	0	0	0.00894828221019566
SRR20002391	0.00172011406046153	0	0	0.0175176359547173	0.0521908465786735	0.000359007898056319	0.000703923238779711	0	0.00806834138703412	0	0	0.00138565069976006	0.0161874159804668	0.00378890147693524	0	0.377543603840363	0.520534558884753	0	0	0
SRR20002394	0	0	0	0	0	0	0.99085821420451	0	0	0	9.16326814612257e-05	0	0	0	0	0	0.000290487006789944	0.00875966610723837	0	0
SRR20002396	0	0.000586186548241979	0.00196667707253806	0.0149387864013854	0.0673396884175475	0	0	0.16465154846869	0	0.0040732951741222	0	0.00138505736440481	0.0197483214416079	0.00174649013872429	0	0.0616034110381178	0.610690907453964	0.00148911607831087	0.0302915242383408	0.019488990164005
SRR20002397	0.0140821449116435	0	0	0.0170393253175047	0.080816176189971	6.82749442508821e-05	0	0	0	0	0	0.0751423532587631	0.0149609659889241	0	0	0.0718886145053095	0.726002144883633	0	0	0
SRR20002401	0	0	0	0.00873919602808087	0.0357219056837033	0.000462346925819386	0.000387788153491476	0.00654370155141398	0	0	0	7.19450884271167e-05	0.00847672713951693	0	0	0.143546958889366	0.37332113797596	0.0944285475909882	0.328299744973232	0
SRR20002402	0	0	0	0.0155684621710526	0.0754523026315789	0	0	0	0	0	0	0	0	0	0	0.0579204358552632	0.851058799342105	0	0	0
SRR20002403	0	0	0	0.056229875309738	0.0772655597810964	0	0	0	0	0	0	0	0	0	0	0	0.866504564909166	0	0	0
SRR20002406	0	0	0.00104950090769137	0.00433595064807509	0.026919532745863	0	0	0	0	0.00483587063880505	0	0.00191911890481104	0	0	0	0.40719421284673	0.540016222569236	0	0	0.013729590738789
SRR20002410	0	0	0	0.00323048682577539	0.015370657345693	0	0.790148995339685	0	0	0	0	0.00035642849391217	0.000998822705883745	0	0	0.00751585798201811	0.182378751307033	0	0	0
SRR20002412	0	0	0	0.00702837627367602	0.0198298524630552	0	0.100599370058203	0	0.00387671507256981	0	0.00284047760629926	0.00916019864211505	0.00187061556175667	9.37064777335839e-05	0.00983488528179685	0.055348902404313	0.222047650524815	0.538856367101374	0.0286128825322926	0
SRR20002416	0.000908546940858654	0	0	0.000541168395765687	0.0653075860369754	0	0	0	0	0	0	0	0.0398660718214056	0	0	0.0498204904833558	0.843556136321639	0	0	0
SRR20002417	0	0	0	0	0.0151433226634369	0	0	0	0	0	0	0	0	0	0	0.0099705856908037	0.97488609164576	0	0	0
SRR20002419	0	0	0	0.0370555551763445	0.0528402148761459	0.00143299113328737	0	0	0.00565005494768025	0	0.000181736892759875	0	0.0111213592895709	0.00179433185668553	0	0.371756465737903	0.517436929619189	0.000730360470434052	0	0
SRR20002420	0	0	0	0.00103135960205436	0.062087365724295	0	0	0	0	0	0	0	0	0	0	0.0721180010434176	0.864763273630233	0	0	0
SRR20002421	0	0	0	0.000588471139047323	0.0073106222273956	0	0	0	0	0	0	0	0.000471261914923887	0	0	0.0405665166388598	0.222567383178779	0.728495744900995	0	0
