feature	Alcaligenaceae	Alicyclobacillaceae	Bacillaceae	Burkholderiaceae	Burkholderiales.unclassified	Comamonadaceae	Corynebacteriaceae	Enterobacteriaceae	FGB1056	FGB796	Lactobacillaceae	Micrococcaceae	Moraxellaceae	Oxalobacteraceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae
SRR20002340	0	0	0	2241	39809	0	0	0	0	0	0	0	8527	0	0	45001	601420	0	0	0
SRR20002343	0	12216	36592	45134	258836	0	0	0	0	108264	0	1059	97454	415	0	680022	2584586	1184029	0	216358
SRR20002345	589374	4928	5655	60395	242871	0	0	0	356775	6222	0	10150	143293	222	0	2798616	2191402	0	0	72739
SRR20002351	20778	0	0	63677	174797	0	774	0	88130	0	0	20049	59006	3107	0	1612970	1852869	46594	235545	0
SRR20002352	0	0	0	5200	33444	0	0	0	1816	0	0	0	2251	0	0	118451	433403	8643511	23397	0
SRR20002353	0	0	0	41428	202064	0	0	0	0	0	0	0	40924	3023	0	139859	1890096	0	0	0
SRR20002355	0	0	0	11353	61214	0	0	0	0	0	0	0	16106	0	0	164533	609597	0	0	0
SRR20002356	0	0	0	0	3708	0	182	2922	0	5286	0	0	0	0	0	59176	2522371	0	10702	10446
SRR20002360	0	0	0	14551	58367	0	0	0	0	0	0	0	7820	0	0	178662	584590	0	0	0
SRR20002363	0	0	0	14200	62412	0	0	0	0	0	0	0	932	97	0	32788	614487	15300833	125114	0
SRR20002365	0	0	0	20345	159742	0	0	0	6448	0	0	92855	19793	198	0	1208210	1785332	0	0	0
SRR20002368	1199	0	0	6644	34858	0	0	0	1753	0	0	0	6964	0	0	87247	392343	10814768	0	0
SRR20002369	0	0	0	0	0	0	0	135205	0	0	25562	0	0	0	1386	0	0	61120	0	0
SRR20002371	0	0	0	0	1484	0	0	3567	0	5440	0	0	0	0	0	77400	53938	107075	25145	5933
SRR20002373	33419	3891	10940	41064	174385	0	0	0	2413	10638	0	0	52261	0	0	141701	1694199	0	0	60099
SRR20002375	0	429	580	13434	72568	0	0	0	0	2931	0	0	10386	422	0	147974	765108	0	0	13801
SRR20002377	0	0	0	0	2067	0	0	0	0	0	0	0	0	0	0	16744	28091	285961	0	0
SRR20002378	0	0	0	3574	32377	0	0	0	0	0	0	0	0	0	0	18244	359354	0	0	0
SRR20002379	5643	0	0	86216	367834	0	0	0	0	0	0	0	28334	14022	0	101522	3421046	0	0	0
SRR20002380	0	0	4647	0	2233	0	0	0	0	0	0	0	0	0	0	42	61235	9235107	0	0
SRR20002382	0	11580	50383	97086	168250	0	0	0	0	98728	0	4970	17993	0	0	558552	2605958	358	0	261639
SRR20002384	0	163	938	3203	16059	0	2029227	0	0	7775	0	0	1379	0	0	34969	178070	0	0	11061
SRR20002386	0	0	0	201	12483	0	0	0	0	0	0	0	0	0	0	33413	169981	0	0	0
SRR20002388	0	104	465	26380	107737	490	0	0	0	0	0	8541	9842	1499	0	90146	1041417	0	0	11617
SRR20002391	14647	0	0	149165	444412	3057	5994	0	68703	0	0	11799	137838	32263	0	3214834	4432421	0	0	0
