#Classification	GQ33_bracken_P.kreport
k__Bacteria	6226556
k__Bacteria|p__Actinobacteria	1157591
k__Bacteria|p__Firmicutes	2219770
k__Bacteria|p__Bacteroidetes	2587807
k__Bacteria|p__Verrucomicrobia	180794
k__Bacteria|p__Proteobacteria	80557
k__Bacteria|p__Fusobacteria	9
k__Bacteria|p__Spirochaetes	6
k__Bacteria|p__Synergistetes	18
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Archaea	3991
k__Archaea|p__Euryarchaeota	3991
k__Eukaryota	819
k__Eukaryota|k__Fungi	781
k__Eukaryota|k__Fungi|p__Ascomycota	781
k__Eukaryota|k__Viridiplantae	38
k__Eukaryota|k__Viridiplantae|p__Streptophyta	38
k__Viruses	60
k__Viruses|k__Heunggongvirae	60
k__Viruses|k__Heunggongvirae|p__Uroviricota	60
