#Classification	S-2-POLPIL-G_bracken_P.kreport
k__Bacteria	48218
k__Bacteria|p__Proteobacteria	42693
k__Bacteria|p__Actinobacteria	2705
k__Bacteria|p__Cyanobacteria	945
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Acidobacteria	1724
k__Bacteria|p__Bacteroidetes	105
k__Bacteria|p__Planctomycetes	35
k__Bacteria|p__Chlamydiae	5
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	3819
k__Eukaryota|k__Viridiplantae	3259
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3259
k__Eukaryota|k__Metazoa	454
k__Eukaryota|k__Metazoa|p__Chordata	454
k__Eukaryota|k__Fungi	105
k__Eukaryota|k__Fungi|p__Ascomycota	105
