#Classification	S-5-DICUND-G_bracken_O.kreport
k__Bacteria	1232478
k__Bacteria|p__Proteobacteria	727105
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	370492
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	123080
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	122828
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	84809
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	30629
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	8012
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	425
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	273
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	150
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	27
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	216
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	8
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	26
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	190378
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	130978
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	20280
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	26650
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1571
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	3219
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	326
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	1484
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2518
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	170
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	224
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	333
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1975
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	310
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	29
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	51
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	78
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	137
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	26
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	9
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	159628
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	150101
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	6343
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1754
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1428
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	6191
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	5001
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	472
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	223
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	104
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	28
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	93
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	266
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	1
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	91
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	86
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	4
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	164
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	164
k__Bacteria|p__Proteobacteria|c__Oligoflexia	121
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	81
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	27
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	13
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	37
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	37
k__Bacteria|p__Cyanobacteria	215379
k__Bacteria|p__Cyanobacteria|o__Nostocales	211487
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	474
k__Bacteria|p__Cyanobacteria|o__Chroococcales	130
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	2976
