#Classification	GQ4_bracken_P.kreport
k__Bacteria	2392455
k__Bacteria|p__Firmicutes	1106522
k__Bacteria|p__Actinobacteria	731366
k__Bacteria|p__Deinococcus-Thermus	21
k__Bacteria|p__Tenericutes	14
k__Bacteria|p__Proteobacteria	276543
k__Bacteria|p__Bacteroidetes	199100
k__Bacteria|p__Fusobacteria	74254
k__Bacteria|p__Candidatus_Saccharibacteria	3378
k__Bacteria|p__Spirochaetes	985
k__Bacteria|p__Synergistetes	267
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	8362
k__Eukaryota|k__Metazoa	6935
k__Eukaryota|k__Metazoa|p__Chordata	6935
k__Eukaryota|k__Fungi	137
k__Eukaryota|k__Fungi|p__Basidiomycota	126
k__Eukaryota|k__Fungi|p__Ascomycota	10
k__Eukaryota|k__Viridiplantae	1275
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1275
k__Eukaryota|p__Apicomplexa	12
k__Eukaryota|p__Euglenozoa	2
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Viruses	568
k__Viruses|k__Heunggongvirae	567
k__Viruses|k__Heunggongvirae|p__Uroviricota	554
k__Viruses|k__Heunggongvirae|p__Peploviricota	13
k__Viruses|k__Shotokuvirae	1
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	1
