#Classification	NS79_bracken_P.kreport
k__Bacteria	8134941
k__Bacteria|p__Firmicutes	5414686
k__Bacteria|p__Actinobacteria	1775787
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Bacteroidetes	915669
k__Bacteria|p__Proteobacteria	28221
k__Bacteria|p__Spirochaetes	492
k__Bacteria|p__Verrucomicrobia	34
k__Bacteria|p__Candidatus_Saccharibacteria	27
k__Bacteria|p__Fusobacteria	19
k__Eukaryota	46
k__Eukaryota|k__Viridiplantae	46
k__Eukaryota|k__Viridiplantae|p__Streptophyta	46
k__Archaea	2
k__Archaea|p__Euryarchaeota	2
k__Viruses	843167
k__Viruses|k__Heunggongvirae	843167
k__Viruses|k__Heunggongvirae|p__Uroviricota	843167
