#Classification	S-13-POLPIL-G_bracken_P.kreport
k__Bacteria	15152
k__Bacteria|p__Proteobacteria	13441
k__Bacteria|p__Actinobacteria	954
k__Bacteria|p__Firmicutes	451
k__Bacteria|p__Acidobacteria	245
k__Bacteria|p__Bacteroidetes	59
k__Bacteria|p__Planctomycetes	1
k__Eukaryota	2289
k__Eukaryota|k__Viridiplantae	2094
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2094
k__Eukaryota|k__Metazoa	123
k__Eukaryota|k__Metazoa|p__Chordata	123
k__Eukaryota|k__Fungi	66
k__Eukaryota|k__Fungi|p__Ascomycota	41
k__Eukaryota|k__Fungi|p__Basidiomycota	25
k__Eukaryota|p__Cercozoa	4
