#Classification	NS21_bracken_P.kreport
k__Bacteria	5902425
k__Bacteria|p__Firmicutes	3464368
k__Bacteria|p__Actinobacteria	8121
k__Bacteria|p__Bacteroidetes	2404318
k__Bacteria|p__Proteobacteria	25570
k__Bacteria|p__Verrucomicrobia	32
k__Bacteria|p__Spirochaetes	12
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	534
k__Eukaryota|k__Fungi	532
k__Eukaryota|k__Fungi|p__Ascomycota	532
k__Eukaryota|k__Viridiplantae	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2
k__Archaea	6
k__Archaea|p__Euryarchaeota	6
k__Viruses	528
k__Viruses|k__Heunggongvirae	528
k__Viruses|k__Heunggongvirae|p__Uroviricota	528
