#Classification	GQ32_bracken_P.kreport
k__Bacteria	20053620
k__Bacteria|p__Bacteroidetes	10599046
k__Bacteria|p__Firmicutes	5442363
k__Bacteria|p__Actinobacteria	2946780
k__Bacteria|p__Tenericutes	45
k__Bacteria|p__Verrucomicrobia	816123
k__Bacteria|p__Proteobacteria	248896
k__Bacteria|p__Spirochaetes	298
k__Bacteria|p__Fusobacteria	42
k__Bacteria|p__Candidatus_Saccharibacteria	22
k__Bacteria|p__Synergistetes	1
k__Archaea	37284
k__Archaea|p__Euryarchaeota	37284
k__Eukaryota	305
k__Eukaryota|k__Viridiplantae	158
k__Eukaryota|k__Viridiplantae|p__Streptophyta	158
k__Eukaryota|k__Fungi	139
k__Eukaryota|k__Fungi|p__Ascomycota	139
k__Eukaryota|k__Metazoa	7
k__Eukaryota|k__Metazoa|p__Chordata	7
k__Viruses	1854
k__Viruses|k__Heunggongvirae	1854
k__Viruses|k__Heunggongvirae|p__Uroviricota	1854
