#Classification	S-1-POLCOM-B_bracken_P.kreport
k__Bacteria	296110
k__Bacteria|p__Proteobacteria	228206
k__Bacteria|p__Actinobacteria	45466
k__Bacteria|p__Cyanobacteria	1776
k__Bacteria|p__Firmicutes	5983
k__Bacteria|p__Armatimonadetes	5
k__Bacteria|p__Acidobacteria	11338
k__Bacteria|p__Bacteroidetes	2218
k__Bacteria|p__Planctomycetes	1022
k__Bacteria|p__Verrucomicrobia	67
k__Bacteria|p__Chlamydiae	24
k__Eukaryota	15754
k__Eukaryota|k__Viridiplantae	12827
k__Eukaryota|k__Viridiplantae|p__Streptophyta	12822
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	4
k__Eukaryota|k__Metazoa	2344
k__Eukaryota|k__Metazoa|p__Chordata	2344
k__Eukaryota|k__Fungi	582
k__Eukaryota|k__Fungi|p__Ascomycota	536
k__Eukaryota|k__Fungi|p__Basidiomycota	46
