#Classification	NS13_bracken_P.kreport
k__Bacteria	9905842
k__Bacteria|p__Firmicutes	6264402
k__Bacteria|p__Actinobacteria	75054
k__Bacteria|p__Bacteroidetes	3565007
k__Bacteria|p__Proteobacteria	942
k__Bacteria|p__Spirochaetes	230
k__Bacteria|p__Verrucomicrobia	200
k__Bacteria|p__Candidatus_Saccharibacteria	3
k__Bacteria|p__Fusobacteria	1
k__Archaea	53
k__Archaea|p__Euryarchaeota	53
k__Eukaryota	16
k__Eukaryota|k__Viridiplantae	14
k__Eukaryota|k__Viridiplantae|p__Streptophyta	14
k__Eukaryota|k__Metazoa	2
k__Eukaryota|k__Metazoa|p__Chordata	2
k__Viruses	630995
k__Viruses|k__Heunggongvirae	630995
k__Viruses|k__Heunggongvirae|p__Uroviricota	630995
