#Classification	GQ35_bracken_O.kreport
k__Bacteria	2899368
k__Bacteria|p__Firmicutes	1667813
k__Bacteria|p__Firmicutes|c__Clostridia	1375174
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	1375174
k__Bacteria|p__Firmicutes|c__Bacilli	169104
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	169019
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	85
k__Bacteria|p__Firmicutes|c__Negativicutes	117865
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	117848
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	16
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	5543
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	5543
k__Bacteria|p__Firmicutes|c__Tissierellia	124
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	124
k__Bacteria|p__Actinobacteria	46984
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	33842
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	24501
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	9341
k__Bacteria|p__Actinobacteria|c__Actinomycetia	13141
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	12193
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	824
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	95
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	28
k__Bacteria|p__Bacteroidetes	1139394
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	1139394
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	1139394
k__Bacteria|p__Proteobacteria	45134
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	38828
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	38827
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	6020
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	6020
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	284
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	284
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	1
k__Bacteria|p__Fusobacteria	33
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	33
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	33
k__Bacteria|p__Spirochaetes	4
k__Bacteria|p__Spirochaetes|c__Spirochaetia	4
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	4
k__Bacteria|p__Verrucomicrobia	3
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	3
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	3
k__Eukaryota	90
k__Eukaryota|k__Viridiplantae	71
k__Eukaryota|k__Viridiplantae|p__Streptophyta	71
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	71
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales	69
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asterales	1
k__Eukaryota|k__Metazoa	18
k__Eukaryota|k__Metazoa|p__Chordata	18
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	18
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	18
k__Viruses	252
k__Viruses|k__Heunggongvirae	252
k__Viruses|k__Heunggongvirae|p__Uroviricota	252
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	252
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes|o__Caudovirales	252
