#Classification	GQ35_bracken_C.kreport
k__Bacteria	2899368
k__Bacteria|p__Firmicutes	1667813
k__Bacteria|p__Firmicutes|c__Clostridia	1375174
k__Bacteria|p__Firmicutes|c__Negativicutes	117865
k__Bacteria|p__Firmicutes|c__Bacilli	169104
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	5543
k__Bacteria|p__Firmicutes|c__Tissierellia	124
k__Bacteria|p__Actinobacteria	46984
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	33842
k__Bacteria|p__Actinobacteria|c__Actinomycetia	13141
k__Bacteria|p__Bacteroidetes	1139394
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	1139394
k__Bacteria|p__Proteobacteria	45134
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	38828
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	284
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	6020
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1
k__Bacteria|p__Fusobacteria	33
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	33
k__Bacteria|p__Spirochaetes	4
k__Bacteria|p__Spirochaetes|c__Spirochaetia	4
k__Bacteria|p__Verrucomicrobia	3
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	3
k__Eukaryota	90
k__Eukaryota|k__Viridiplantae	71
k__Eukaryota|k__Viridiplantae|p__Streptophyta	71
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	71
k__Eukaryota|k__Metazoa	18
k__Eukaryota|k__Metazoa|p__Chordata	18
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	18
k__Viruses	252
k__Viruses|k__Heunggongvirae	252
k__Viruses|k__Heunggongvirae|p__Uroviricota	252
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	252
