#Classification	SRR5091484_bracken_O.kreport
k__Bacteria	12557506
k__Bacteria|p__Bacteroidetes	8500171
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	8497885
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	8497869
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales	16
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1146
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	1146
k__Bacteria|p__Bacteroidetes|c__Cytophagia	801
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	801
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	178
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	178
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	55
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	55
k__Bacteria|p__Bacteroidetes|c__Saprospiria	20
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales	20
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis	84
k__Bacteria|p__Chlorobi	5
k__Bacteria|p__Chlorobi|c__Chlorobia	5
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	5
k__Bacteria|p__Gemmatimonadetes	356
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	356
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	356
k__Bacteria|p__Fibrobacteres	1
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	1
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales	1
k__Bacteria|p__Firmicutes	3121142
k__Bacteria|p__Firmicutes|c__Clostridia	2973932
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2973884
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	42
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	3
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales	2
k__Bacteria|p__Firmicutes|c__Negativicutes	86924
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	83008
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2656
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1259
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	36416
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	36416
k__Bacteria|p__Firmicutes|c__Bacilli	23693
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	21116
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2577
k__Bacteria|p__Firmicutes|c__Tissierellia	174
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	174
k__Bacteria|p__Actinobacteria	50252
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	34410
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	26133
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	8276
k__Bacteria|p__Actinobacteria|c__Actinomycetia	15760
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	13193
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	1946
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	226
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	192
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	117
