#Classification	S-23-POLPIL-G_bracken_P.kreport
k__Bacteria	43556
k__Bacteria|p__Proteobacteria	33537
k__Bacteria|p__Cyanobacteria	6982
k__Bacteria|p__Actinobacteria	1731
k__Bacteria|p__Firmicutes	119
k__Bacteria|p__Acidobacteria	1045
k__Bacteria|p__Bacteroidetes	124
k__Bacteria|p__Planctomycetes	15
k__Eukaryota	3791
k__Eukaryota|k__Viridiplantae	2899
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2899
k__Eukaryota|k__Metazoa	763
k__Eukaryota|k__Metazoa|p__Chordata	763
k__Eukaryota|k__Fungi	128
k__Eukaryota|k__Fungi|p__Basidiomycota	127
k__Eukaryota|k__Fungi|p__Ascomycota	1
