#Classification	S-10-POLPIL-B_bracken_C.kreport
k__Bacteria	22296
k__Bacteria|p__Proteobacteria	17886
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	12640
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	3911
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1334
k__Bacteria|p__Actinobacteria	2926
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2926
k__Bacteria|p__Firmicutes	133
k__Bacteria|p__Firmicutes|c__Bacilli	133
k__Bacteria|p__Acidobacteria	1222
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	1222
k__Bacteria|p__Bacteroidetes	69
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	66
k__Bacteria|p__Bacteroidetes|c__Cytophagia	3
k__Bacteria|p__Planctomycetes	57
k__Bacteria|p__Planctomycetes|c__Planctomycetia	57
k__Eukaryota	203
k__Eukaryota|k__Viridiplantae	203
k__Eukaryota|k__Viridiplantae|p__Streptophyta	203
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	199
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	4
k__Viruses	1
k__Viruses|c__Naldaviricetes	1
