#Classification	S-2-POLPIL-B_bracken_P.kreport
k__Bacteria	1425761
k__Bacteria|p__Proteobacteria	745918
k__Bacteria|p__Actinobacteria	245782
k__Bacteria|p__Cyanobacteria	205459
k__Bacteria|p__Firmicutes	102323
k__Bacteria|p__Chloroflexi	989
k__Bacteria|p__Deinococcus-Thermus	357
k__Bacteria|p__Armatimonadetes	288
k__Bacteria|p__Tenericutes	99
k__Bacteria|p__Acidobacteria	84150
k__Bacteria|p__Bacteroidetes	23638
k__Bacteria|p__Chlorobi	29
k__Bacteria|p__Rhodothermaeota	101
k__Bacteria|p__Gemmatimonadetes	554
k__Bacteria|p__Planctomycetes	12764
k__Bacteria|p__Verrucomicrobia	2431
k__Bacteria|p__Chlamydiae	42
k__Bacteria|p__Kiritimatiellaeota	371
k__Bacteria|p__Candidatus_Omnitrophica	1
k__Bacteria|p__Spirochaetes	166
k__Bacteria|p__Thermotogae	80
k__Bacteria|p__Nitrospirae	30
k__Bacteria|p__Candidatus_Saccharibacteria	23
k__Bacteria|p__Candidatus_Bipolaricaulota	1
k__Bacteria|p__Deferribacteres	14
k__Bacteria|p__Synergistetes	53
k__Bacteria|p__Fusobacteria	20
k__Bacteria|p__Calditrichaeota	2
k__Bacteria|p__Chrysiogenetes	60
k__Bacteria|p__Atribacterota	1
k__Bacteria|p__Thermodesulfobacteria	1
k__Eukaryota	73555
k__Eukaryota|k__Fungi	25127
k__Eukaryota|k__Fungi|p__Ascomycota	23528
k__Eukaryota|k__Fungi|p__Basidiomycota	1598
k__Eukaryota|k__Metazoa	17614
k__Eukaryota|k__Metazoa|p__Chordata	17614
k__Eukaryota|k__Viridiplantae	30630
k__Eukaryota|k__Viridiplantae|p__Streptophyta	29911
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	719
k__Eukaryota|p__Apicomplexa	61
k__Eukaryota|p__Bacillariophyta	28
k__Eukaryota|p__Cercozoa	11
k__Eukaryota|p__Euglenozoa	72
k__Eukaryota|p__Evosea	7
k__Archaea	239
k__Archaea|p__Euryarchaeota	225
k__Archaea|p__Thaumarchaeota	9
k__Archaea|p__Crenarchaeota	4
k__Archaea|p__Candidatus_Micrarchaeota	1
k__Viruses	54
k__Viruses|k__Heunggongvirae	44
k__Viruses|k__Heunggongvirae|p__Uroviricota	44
k__Viruses|k__Bamfordvirae	10
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	10
