#Classification	S-2-POLPIL-B_bracken_O.kreport
k__Bacteria	1425331
k__Bacteria|p__Proteobacteria	745917
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	454051
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	207117
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	123246
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	87024
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	27639
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	8231
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	436
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	143
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	50
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	104
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	11
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	6
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	36
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	205828
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	197689
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	4859
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1572
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1707
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	78966
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	21820
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	17740
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	28638
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1863
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	2136
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	487
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	287
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	2422
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	298
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	1640
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	253
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	126
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	234
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	58
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	474
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	132
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	21
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	35
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	265
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	25
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	6542
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	5068
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	559
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	415
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	84
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	35
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	285
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	76
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	16
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	121
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	118
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	2
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	208
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	208
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	117
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	117
k__Bacteria|p__Proteobacteria|c__Oligoflexia	78
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	69
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	7
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	2
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	1
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Mariprofundales	1
k__Bacteria|p__Actinobacteria	245782
k__Bacteria|p__Actinobacteria|c__Actinomycetia	236239
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	117893
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	30176
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	32089
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	14232
