#Classification	GQ32_bracken_P.kreport
k__Bacteria	26971149
k__Bacteria|p__Bacteroidetes	13889137
k__Bacteria|p__Firmicutes	8072715
k__Bacteria|p__Actinobacteria	3661448
k__Bacteria|p__Tenericutes	101
k__Bacteria|p__Cyanobacteria	2
k__Bacteria|p__Verrucomicrobia	929006
k__Bacteria|p__Proteobacteria	417495
k__Bacteria|p__Spirochaetes	1019
k__Bacteria|p__Candidatus_Saccharibacteria	110
k__Bacteria|p__Fusobacteria	103
k__Bacteria|p__Synergistetes	8
k__Archaea	60515
k__Archaea|p__Euryarchaeota	60515
k__Eukaryota	390
k__Eukaryota|k__Viridiplantae	266
k__Eukaryota|k__Viridiplantae|p__Streptophyta	264
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	2
k__Eukaryota|k__Fungi	110
k__Eukaryota|k__Fungi|p__Ascomycota	110
k__Eukaryota|k__Metazoa	13
k__Eukaryota|k__Metazoa|p__Chordata	13
k__Viruses	5627
k__Viruses|k__Heunggongvirae	5620
k__Viruses|k__Heunggongvirae|p__Uroviricota	5620
k__Viruses|k__Loebvirae	6
k__Viruses|k__Loebvirae|p__Hofneiviricota	6
k__Viruses|k__Sangervirae	1
k__Viruses|k__Sangervirae|p__Phixviricota	1
