#Classification	S-26-POLPIL-B_bracken_O.kreport
k__Bacteria	1437170
k__Bacteria|p__Proteobacteria	812457
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	419767
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	251944
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	60264
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	83979
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	15796
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	7079
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	167
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	137
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	195
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	50
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	18
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	119
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	11
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	286074
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	278112
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	4951
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1458
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1551
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	98342
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	43694
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	13610
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	32088
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1241
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1879
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	346
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	234
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	1619
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	229
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	895
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	64
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	112
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1606
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	253
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	273
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	82
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	71
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	8
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	12
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	5
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	10
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	7763
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	6062
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	808
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	299
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	189
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	29
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	266
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	97
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	10
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	179
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	174
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	4
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	241
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	241
k__Bacteria|p__Proteobacteria|c__Oligoflexia	66
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	53
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	12
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	21
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	21
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	2
