#Classification	GQ56_bracken_O.kreport
k__Bacteria	31018392
k__Bacteria|p__Firmicutes	18827194
k__Bacteria|p__Firmicutes|c__Clostridia	18319258
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	18318221
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	889
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	92
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales	50
k__Bacteria|p__Firmicutes|c__Clostridia|o__Koleobacterales	2
k__Bacteria|p__Firmicutes|c__Clostridia|o__Natranaerobiales	1
k__Bacteria|p__Firmicutes|c__Bacilli	333804
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	319418
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	14385
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	166735
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	166735
k__Bacteria|p__Firmicutes|c__Tissierellia	4750
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	4750
k__Bacteria|p__Firmicutes|c__Negativicutes	2610
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	1577
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	416
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	615
k__Bacteria|p__Firmicutes|c__Limnochordia	35
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	35
k__Bacteria|p__Actinobacteria	6230011
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	4074768
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2608322
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	1466445
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2155131
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2076627
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	67228
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	4016
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	3121
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	3063
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	675
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	120
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	114
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	102
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	15
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	13
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	10
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	6
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	5
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	3
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	3
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	2
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	51
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	45
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	6
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	34
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	34
