#Classification	S-23-POLJUN-B_bracken_P.kreport
k__Bacteria	57590
k__Bacteria|p__Cyanobacteria	18715
k__Bacteria|p__Actinobacteria	2593
k__Bacteria|p__Firmicutes	2579
k__Bacteria|p__Proteobacteria	28514
k__Bacteria|p__Acidobacteria	4863
k__Bacteria|p__Bacteroidetes	230
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Planctomycetes	91
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	714
k__Eukaryota|k__Metazoa	528
k__Eukaryota|k__Metazoa|p__Chordata	528
k__Eukaryota|k__Fungi	45
k__Eukaryota|k__Fungi|p__Ascomycota	45
k__Eukaryota|k__Viridiplantae	139
k__Eukaryota|k__Viridiplantae|p__Streptophyta	139
