#Classification	NS51_bracken_O.kreport
k__Bacteria	2083764
k__Bacteria|p__Firmicutes	1790815
k__Bacteria|p__Firmicutes|c__Clostridia	1769408
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	1769408
k__Bacteria|p__Firmicutes|c__Bacilli	10847
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	10812
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	34
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	9557
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	9557
k__Bacteria|p__Firmicutes|c__Tissierellia	677
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	677
k__Bacteria|p__Firmicutes|c__Negativicutes	323
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	189
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	133
k__Bacteria|p__Actinobacteria	235562
k__Bacteria|p__Actinobacteria|c__Actinomycetia	234976
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	234826
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	64
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	31
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	11
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	42
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	586
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	274
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	311
k__Bacteria|p__Proteobacteria	38762
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	36720
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	36638
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	56
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	25
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1513
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	1513
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	443
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	443
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	84
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	84
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	1
k__Bacteria|p__Bacteroidetes	18517
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	18517
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	18517
k__Bacteria|p__Fusobacteria	93
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	93
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	93
k__Bacteria|p__Spirochaetes	7
k__Bacteria|p__Spirochaetes|c__Spirochaetia	7
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	7
k__Bacteria|p__Verrucomicrobia	5
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	5
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	5
k__Eukaryota	22
k__Eukaryota|k__Viridiplantae	18
k__Eukaryota|k__Viridiplantae|p__Streptophyta	18
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	18
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	18
k__Eukaryota|k__Fungi	4
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	4
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	4
k__Viruses	765
k__Viruses|k__Heunggongvirae	765
k__Viruses|k__Heunggongvirae|p__Uroviricota	765
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	765
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes|o__Caudovirales	765
