#Classification	SRR20002400_bracken_P.kreport
k__Bacteria	20949
k__Bacteria|p__Actinobacteria	9084
k__Bacteria|p__Firmicutes	3042
k__Bacteria|p__Deinococcus-Thermus	41
k__Bacteria|p__Proteobacteria	8733
k__Bacteria|p__Bacteroidetes	44
k__Bacteria|p__Fusobacteria	2
k__Eukaryota	3884
k__Eukaryota|k__Metazoa	3278
k__Eukaryota|k__Metazoa|p__Chordata	3278
k__Eukaryota|k__Fungi	179
k__Eukaryota|k__Fungi|p__Basidiomycota	158
k__Eukaryota|k__Fungi|p__Ascomycota	20
k__Eukaryota|p__Apicomplexa	419
k__Eukaryota|k__Viridiplantae	7
k__Eukaryota|k__Viridiplantae|p__Streptophyta	7
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
