#Classification	NS38_bracken_P.kreport
k__Bacteria	2829926
k__Bacteria|p__Actinobacteria	402745
k__Bacteria|p__Firmicutes	969039
k__Bacteria|p__Bacteroidetes	782620
k__Bacteria|p__Verrucomicrobia	593790
k__Bacteria|p__Proteobacteria	81718
k__Bacteria|p__Candidatus_Saccharibacteria	3
k__Bacteria|p__Spirochaetes	9
k__Archaea	30551
k__Archaea|p__Euryarchaeota	30551
k__Eukaryota	1
k__Eukaryota|k__Viridiplantae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1
k__Viruses	234
k__Viruses|k__Heunggongvirae	234
k__Viruses|k__Heunggongvirae|p__Uroviricota	234
