#Classification	S-21-POLJUN-G_bracken_P.kreport
k__Bacteria	109860
k__Bacteria|p__Cyanobacteria	36621
k__Bacteria|p__Actinobacteria	1596
k__Bacteria|p__Proteobacteria	70179
k__Bacteria|p__Acidobacteria	1330
k__Bacteria|p__Bacteroidetes	105
k__Bacteria|p__Planctomycetes	28
k__Eukaryota	4458
k__Eukaryota|k__Viridiplantae	4167
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4167
k__Eukaryota|k__Metazoa	219
k__Eukaryota|k__Metazoa|p__Chordata	219
k__Eukaryota|k__Fungi	71
k__Eukaryota|k__Fungi|p__Ascomycota	71
