feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae	Coprobacillaceae	Coriobacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Pseudomonadaceae	Rikenellaceae	Selenomonadaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Turicibacteraceae	Veillonellaceae
NS10	259	0	0	0	37536	177	66301	0	0	0	0	0	66657	80	83890	81	10077	269	3643	72588	103	0	446121	0	0	0	76499	0	0	0	0	337	0	6219	0	358	0	0	0	182	0	661	0	58220
NS11	9551	0	2224	0	255843	0	21337	0	0	0	0	113	13650	7295	6754	5467	205	1432	2149	6206	273	0	53008	1605	0	10610	144093	596	0	734	0	133	0	266656	0	14802	0	0	0	300	2375	68190	0	34579
NS13	0	75	0	0	143176	0	33	0	0	0	0	0	21935	46366	0	0	3566	0	4696	7652	390	0	524648	0	0	0	118200	0	0	0	297	665	0	553	0	55691	0	0	0	1762	0	151	184	218
NS21	0	21	45	0	349291	0	1540	0	0	0	0	0	63962	433	0	1075	798	1608	3538	3461	0	0	269842	0	0	6655	199111	0	73	0	0	2208	0	843	0	267	0	0	0	2375	0	11478	0	11567
NS25	12623	0	0	0	396914	0	3318	0	0	0	0	0	100673	441	0	3967	325	0	7665	4460	129	0	106223	0	0	1410	267181	0	0	0	0	1030	0	171	0	7754	0	0	0	81	525	15326	42	0
NS27	0	0	5368	499	202323	0	136711	0	0	0	0	0	42134	16580	6877	0	697	0	5980	8152	236	0	265404	268	0	0	191151	0	317	0	0	3559	0	2699	0	9400	0	0	0	12545	83	12407	0	6868
NS28	2367	0	32504	422	35557	9333	10402	0	0	229	0	2654	102199	6477	514	452	388	391	4932	6643	0	22	87747	0	0	2337	133438	0	54	0	0	376	231	450173	0	11754	0	0	0	1175	2583	11402	0	13260
NS29	0	108	0	0	54821	5491	147478	0	0	0	0	213	65968	1261	12881	431	8729	55	41632	19531	3328	0	301387	0	0	0	228973	0	0	0	145	20645	0	277	0	3505	0	0	0	3346	66	48	56	9883
NS30	0	107	0	0	30747	48	55137	0	0	0	0	0	49587	0	13208	0	1634	15129	6728	27134	0	0	620563	52	0	0	62926	0	0	0	0	4571	0	804	35976	727	0	0	0	1586	620	100	0	1766
NS32	856	0	2466	0	83415	775	9021	0	0	209	0	1095	75684	11244	2255	2477	507	565	2179	98272	485	0	185773	5288	0	2416	220833	331	0	0	0	576	31	158926	0	7661	0	0	0	504	649	5770	76	43581
