#Classification	S-5-POLPIL-G_bracken_P.kreport
k__Bacteria	18301
k__Bacteria|p__Proteobacteria	16546
k__Bacteria|p__Actinobacteria	713
k__Bacteria|p__Firmicutes	446
k__Bacteria|p__Cyanobacteria	1
k__Bacteria|p__Acidobacteria	398
k__Bacteria|p__Bacteroidetes	175
k__Bacteria|p__Planctomycetes	16
k__Bacteria|p__Chlamydiae	3
k__Eukaryota	1258
k__Eukaryota|k__Viridiplantae	928
k__Eukaryota|k__Viridiplantae|p__Streptophyta	928
k__Eukaryota|k__Metazoa	256
k__Eukaryota|k__Metazoa|p__Chordata	256
k__Eukaryota|k__Fungi	72
k__Eukaryota|k__Fungi|p__Ascomycota	72
