#Classification	S-11-POLJUN-G_bracken_P.kreport
k__Bacteria	133867
k__Bacteria|p__Proteobacteria	128831
k__Bacteria|p__Cyanobacteria	3474
k__Bacteria|p__Actinobacteria	670
k__Bacteria|p__Firmicutes	311
k__Bacteria|p__Acidobacteria	385
k__Bacteria|p__Bacteroidetes	187
k__Bacteria|p__Planctomycetes	5
k__Eukaryota	2682
k__Eukaryota|k__Viridiplantae	2261
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2261
k__Eukaryota|k__Metazoa	414
k__Eukaryota|k__Metazoa|p__Chordata	414
k__Eukaryota|k__Fungi	6
k__Eukaryota|k__Fungi|p__Ascomycota	6
