#Classification	S-11-POLJUN-G_bracken_O.kreport
k__Bacteria	133865
k__Bacteria|p__Proteobacteria	128831
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	85294
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	80341
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	4940
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	6
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	6
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	32945
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	12442
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	9250
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	11246
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	6
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	10590
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	10590
k__Bacteria|p__Cyanobacteria	3474
k__Bacteria|p__Cyanobacteria|o__Nostocales	3474
k__Bacteria|p__Actinobacteria	670
k__Bacteria|p__Actinobacteria|c__Actinomycetia	670
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	383
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	73
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	209
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	1
k__Bacteria|p__Firmicutes	311
k__Bacteria|p__Firmicutes|c__Bacilli	303
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	303
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	8
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	8
k__Bacteria|p__Acidobacteria	384
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	384
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	384
k__Bacteria|p__Bacteroidetes	187
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	176
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	176
k__Bacteria|p__Bacteroidetes|c__Cytophagia	10
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	10
k__Bacteria|p__Planctomycetes	4
k__Bacteria|p__Planctomycetes|c__Planctomycetia	4
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	3
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	1
k__Eukaryota	2682
k__Eukaryota|k__Viridiplantae	2261
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2261
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	2244
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	2244
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	17
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales	17
k__Eukaryota|k__Metazoa	414
k__Eukaryota|k__Metazoa|p__Chordata	414
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	414
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	414
k__Eukaryota|k__Fungi	6
k__Eukaryota|k__Fungi|p__Ascomycota	6
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	6
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	6
