#Classification	S-23-POLJUN-G_bracken_C.kreport
k__Bacteria	65502
k__Bacteria|p__Proteobacteria	63470
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	49650
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1680
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	12139
k__Bacteria|p__Actinobacteria	878
k__Bacteria|p__Actinobacteria|c__Actinomycetia	878
k__Bacteria|p__Firmicutes	310
k__Bacteria|p__Firmicutes|c__Bacilli	310
k__Bacteria|p__Acidobacteria	773
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	773
k__Bacteria|p__Bacteroidetes	55
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	45
k__Bacteria|p__Bacteroidetes|c__Cytophagia	10
k__Bacteria|p__Planctomycetes	12
k__Bacteria|p__Planctomycetes|c__Planctomycetia	12
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia	1
k__Eukaryota	2598
k__Eukaryota|k__Viridiplantae	2326
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2326
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	2283
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	43
k__Eukaryota|k__Metazoa	232
k__Eukaryota|k__Metazoa|p__Chordata	232
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	232
k__Eukaryota|k__Fungi	39
k__Eukaryota|k__Fungi|p__Ascomycota	31
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	6
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	23
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	2
k__Eukaryota|k__Fungi|p__Basidiomycota	7
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	7
