#Classification	S-23-POLJUN-G_bracken_P.kreport
k__Bacteria	65502
k__Bacteria|p__Proteobacteria	52144
k__Bacteria|p__Cyanobacteria	11326
k__Bacteria|p__Actinobacteria	878
k__Bacteria|p__Firmicutes	310
k__Bacteria|p__Acidobacteria	773
k__Bacteria|p__Bacteroidetes	55
k__Bacteria|p__Planctomycetes	12
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	2598
k__Eukaryota|k__Viridiplantae	2326
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2326
k__Eukaryota|k__Metazoa	232
k__Eukaryota|k__Metazoa|p__Chordata	232
k__Eukaryota|k__Fungi	39
k__Eukaryota|k__Fungi|p__Ascomycota	31
k__Eukaryota|k__Fungi|p__Basidiomycota	7
