#Classification	S-26-POLJUN-G_bracken_O.kreport
k__Bacteria	26122
k__Bacteria|p__Proteobacteria	23551
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	18874
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	17046
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	1794
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	15
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	18
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	4153
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	4153
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	522
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	515
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	1
k__Bacteria|p__Cyanobacteria	1622
k__Bacteria|p__Cyanobacteria|o__Nostocales	1622
k__Bacteria|p__Actinobacteria	582
k__Bacteria|p__Actinobacteria|c__Actinomycetia	582
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	369
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	5
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	145
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	56
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	1
k__Bacteria|p__Firmicutes	158
k__Bacteria|p__Firmicutes|c__Bacilli	158
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	158
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	1
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales	1
k__Bacteria|p__Acidobacteria	181
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	181
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	181
k__Bacteria|p__Bacteroidetes	23
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	14
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	14
k__Bacteria|p__Bacteroidetes|c__Cytophagia	8
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	8
k__Bacteria|p__Planctomycetes	1
k__Bacteria|p__Planctomycetes|c__Planctomycetia	1
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	1
k__Eukaryota	1442
k__Eukaryota|k__Viridiplantae	1322
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1322
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	1322
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	1322
k__Eukaryota|k__Metazoa	111
k__Eukaryota|k__Metazoa|p__Chordata	111
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	111
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	111
k__Eukaryota|k__Fungi	9
k__Eukaryota|k__Fungi|p__Ascomycota	9
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	9
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	9
