#Classification	S-14-POLJUN-G_bracken_P.kreport
k__Bacteria	245793
k__Bacteria|p__Proteobacteria	211313
k__Bacteria|p__Cyanobacteria	16316
k__Bacteria|p__Actinobacteria	13405
k__Bacteria|p__Firmicutes	80
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Acidobacteria	4161
k__Bacteria|p__Bacteroidetes	428
k__Bacteria|p__Planctomycetes	80
k__Bacteria|p__Verrucomicrobia	6
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	32948
k__Eukaryota|k__Viridiplantae	29575
k__Eukaryota|k__Viridiplantae|p__Streptophyta	29570
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	5
k__Eukaryota|k__Metazoa	3196
k__Eukaryota|k__Metazoa|p__Chordata	3196
k__Eukaryota|k__Fungi	175
k__Eukaryota|k__Fungi|p__Ascomycota	163
k__Eukaryota|k__Fungi|p__Basidiomycota	11
k__Eukaryota|p__Euglenozoa	1
k__Viruses	8
k__Viruses|k__Heunggongvirae	8
k__Viruses|k__Heunggongvirae|p__Uroviricota	8
