#Classification	GQ23_bracken_P.kreport
k__Bacteria	4349827
k__Bacteria|p__Firmicutes	2253613
k__Bacteria|p__Actinobacteria	265820
k__Bacteria|p__Tenericutes	3
k__Bacteria|p__Bacteroidetes	1450706
k__Bacteria|p__Proteobacteria	282839
k__Bacteria|p__Fusobacteria	86791
k__Bacteria|p__Candidatus_Saccharibacteria	9638
k__Bacteria|p__Spirochaetes	404
k__Bacteria|p__Synergistetes	9
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	8122
k__Eukaryota|k__Metazoa	7709
k__Eukaryota|k__Metazoa|p__Chordata	7709
k__Eukaryota|k__Fungi	16
k__Eukaryota|k__Fungi|p__Basidiomycota	16
k__Eukaryota|k__Viridiplantae	396
k__Eukaryota|k__Viridiplantae|p__Streptophyta	396
k__Viruses	126
k__Viruses|k__Heunggongvirae	126
k__Viruses|k__Heunggongvirae|p__Uroviricota	120
k__Viruses|k__Heunggongvirae|p__Peploviricota	6
