#Classification	S-10-POLJUN-G_bracken_P.kreport
k__Bacteria	1122738
k__Bacteria|p__Proteobacteria	784245
k__Bacteria|p__Cyanobacteria	134298
k__Bacteria|p__Actinobacteria	119757
k__Bacteria|p__Firmicutes	40099
k__Bacteria|p__Deinococcus-Thermus	127
k__Bacteria|p__Armatimonadetes	88
k__Bacteria|p__Chloroflexi	39
k__Bacteria|p__Tenericutes	16
k__Bacteria|p__Acidobacteria	26653
k__Bacteria|p__Bacteroidetes	14687
k__Bacteria|p__Chlorobi	21
k__Bacteria|p__Rhodothermaeota	26
k__Bacteria|p__Balneolaeota	1
k__Bacteria|p__Gemmatimonadetes	50
k__Bacteria|p__Planctomycetes	1917
k__Bacteria|p__Verrucomicrobia	436
k__Bacteria|p__Chlamydiae	22
k__Bacteria|p__Kiritimatiellaeota	102
k__Bacteria|p__Spirochaetes	64
k__Bacteria|p__Candidatus_Saccharibacteria	31
k__Bacteria|p__Nitrospirae	11
k__Bacteria|p__Thermotogae	14
k__Bacteria|p__Fusobacteria	4
k__Bacteria|p__Synergistetes	6
k__Bacteria|p__Deferribacteres	2
k__Bacteria|p__Calditrichaeota	1
k__Bacteria|p__Atribacterota	1
k__Bacteria|p__Thermodesulfobacteria	1
k__Bacteria|p__Chrysiogenetes	9
k__Eukaryota	157252
k__Eukaryota|k__Viridiplantae	132550
k__Eukaryota|k__Viridiplantae|p__Streptophyta	132331
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	218
k__Eukaryota|k__Metazoa	19405
k__Eukaryota|k__Metazoa|p__Chordata	19405
k__Eukaryota|k__Fungi	5185
k__Eukaryota|k__Fungi|p__Ascomycota	3939
k__Eukaryota|k__Fungi|p__Basidiomycota	1246
k__Eukaryota|p__Bacillariophyta	37
k__Eukaryota|p__Cercozoa	26
k__Eukaryota|p__Apicomplexa	19
k__Eukaryota|p__Euglenozoa	24
k__Eukaryota|p__Evosea	3
k__Archaea	103
k__Archaea|p__Euryarchaeota	99
k__Archaea|p__Crenarchaeota	3
k__Archaea|p__Thaumarchaeota	1
k__Viruses	25
k__Viruses|k__Heunggongvirae	24
k__Viruses|k__Heunggongvirae|p__Uroviricota	23
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
