feature	Alcaligenaceae	Alicyclobacillaceae	Bacillaceae	Burkholderiaceae	Burkholderiales.unclassified	Comamonadaceae	Corynebacteriaceae	Enterobacteriaceae	FGB796	Lactobacillaceae	Lawsonellaceae	Micrococcaceae	Moraxellaceae	Oxalobacteraceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae
SRR20002396	0	1889	6055	41896	200449	0	0	396640	12626	0	0	5036	62179	2640	0	196165	2010432	5687	92307	63118
SRR20002397	32077	0	0	50337	258812	1069	0	0	0	0	0	232546	72485	1222	0	244318	2321567	347	0	0
SRR20002401	0	0	0	66257	261859	5258	0	59355	0	0	0	2810	43038	0	0	1077243	2773412	647024	637638	0
SRR20002402	0	0	0	33899	41429	0	0	0	0	0	0	0	0	0	0	20260	509752	0	0	0
SRR20002403	0	0	0	6271	8811	0	0	0	0	0	0	0	0	0	0	0	127023	0	0	0
SRR20002406	0	0	990	5565	28116	0	0	0	5552	0	0	1947	1617	0	0	463427	352119	0	0	14233
SRR20002410	0	0	0	6377	29120	0	1587690	0	0	0	0	148	7053	196	49	14507	372690	0	0	0
SRR20002412	0	0	0	15361	52403	0	268471	0	0	6476	9445	28190	2550	249	25608	138390	567085	1238545	149163	0
SRR20002416	0	0	0	0	18292	0	0	0	0	0	0	0	13495	0	0	16048	290528	0	0	0
SRR20002417	0	0	0	0	4406	0	0	0	0	0	0	0	4875	0	0	3139	288781	0	0	0
SRR20002419	0	0	0	73031	124942	4121	0	0	0	87	10137	0	24139	5323	0	895896	1205678	1839	0	0
SRR20002420	0	0	0	1423	60983	0	0	0	0	0	0	0	0	0	0	132025	1099713	0	0	0
SRR20002421	0	0	0	0	7122	0	0	0	0	0	0	0	569	0	0	37712	249017	766056	6445	0
SRR20002422	0	0	0	31895	106102	266	1549	0	0	329	62245	0	20885	2469	0	3321778	1047629	5329496	102743	0
SRR20002425	0	0	35	114427	362278	10164	0	0	0	0	0	114379	116195	13774	0	337649	3703332	2427	0	0
SRR20002427	0	0	0	10192	34933	0	503354	0	0	1631	0	4477	6193	603	16229111	28611	359959	0	42697	0
