#Classification	S-7-POLCOM-G_bracken_C.kreport
k__Bacteria	867
k__Bacteria|p__Proteobacteria	857
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	554
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	266
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	36
k__Bacteria|p__Actinobacteria	6
k__Bacteria|p__Actinobacteria|c__Actinomycetia	6
k__Bacteria|p__Acidobacteria	4
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	4
k__Eukaryota	21
k__Eukaryota|k__Metazoa	13
k__Eukaryota|k__Metazoa|p__Chordata	13
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	13
k__Eukaryota|k__Fungi	7
k__Eukaryota|k__Fungi|p__Ascomycota	7
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	7
