#Classification	S-4-POLCOM-B_bracken_P.kreport
k__Bacteria	56095
k__Bacteria|p__Proteobacteria	41440
k__Bacteria|p__Actinobacteria	3535
k__Bacteria|p__Cyanobacteria	1863
k__Bacteria|p__Firmicutes	2507
k__Bacteria|p__Acidobacteria	5893
k__Bacteria|p__Bacteroidetes	823
k__Bacteria|p__Planctomycetes	18
k__Bacteria|p__Verrucomicrobia	10
k__Bacteria|p__Chlamydiae	2
k__Eukaryota	180
k__Eukaryota|k__Metazoa	136
k__Eukaryota|k__Metazoa|p__Chordata	136
k__Eukaryota|k__Fungi	29
k__Eukaryota|k__Fungi|p__Ascomycota	27
k__Eukaryota|k__Fungi|p__Basidiomycota	2
k__Eukaryota|k__Viridiplantae	14
k__Eukaryota|k__Viridiplantae|p__Streptophyta	14
