#Classification	S-21-POLJUN-B_bracken_P.kreport
k__Bacteria	45026
k__Bacteria|p__Cyanobacteria	17183
k__Bacteria|p__Actinobacteria	2863
k__Bacteria|p__Proteobacteria	18035
k__Bacteria|p__Bacteroidetes	4485
k__Bacteria|p__Acidobacteria	2218
k__Bacteria|p__Planctomycetes	235
k__Bacteria|p__Chlamydiae	3
k__Bacteria|p__Verrucomicrobia	2
k__Eukaryota	224
k__Eukaryota|k__Metazoa	132
k__Eukaryota|k__Metazoa|p__Chordata	132
k__Eukaryota|k__Fungi	23
k__Eukaryota|k__Fungi|p__Ascomycota	21
k__Eukaryota|k__Fungi|p__Basidiomycota	2
k__Eukaryota|k__Viridiplantae	68
k__Eukaryota|k__Viridiplantae|p__Streptophyta	68
