#Classification	S-9-POLPIL-B_bracken_P.kreport
k__Bacteria	847211
k__Bacteria|p__Proteobacteria	424654
k__Bacteria|p__Actinobacteria	140083
k__Bacteria|p__Cyanobacteria	49707
k__Bacteria|p__Firmicutes	154099
k__Bacteria|p__Chloroflexi	464
k__Bacteria|p__Deinococcus-Thermus	197
k__Bacteria|p__Armatimonadetes	63
k__Bacteria|p__Tenericutes	33
k__Bacteria|p__Acidobacteria	44969
k__Bacteria|p__Bacteroidetes	18725
k__Bacteria|p__Chlorobi	30
k__Bacteria|p__Rhodothermaeota	34
k__Bacteria|p__Balneolaeota	1
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Gemmatimonadetes	259
k__Bacteria|p__Candidatus_Cloacimonetes	1
k__Bacteria|p__Fibrobacteres	1
k__Bacteria|p__Planctomycetes	12481
k__Bacteria|p__Verrucomicrobia	937
k__Bacteria|p__Chlamydiae	38
k__Bacteria|p__Kiritimatiellaeota	234
k__Bacteria|p__Candidatus_Omnitrophica	3
k__Bacteria|p__Spirochaetes	52
k__Bacteria|p__Nitrospirae	26
k__Bacteria|p__Candidatus_Saccharibacteria	20
k__Bacteria|p__Candidatus_Absconditabacteria	1
k__Bacteria|p__Thermotogae	20
k__Bacteria|p__Fusobacteria	9
k__Bacteria|p__Deferribacteres	5
k__Bacteria|p__Synergistetes	12
k__Bacteria|p__Chrysiogenetes	28
k__Bacteria|p__Thermodesulfobacteria	3
k__Bacteria|p__Elusimicrobia	2
k__Bacteria|p__Aquificae	7
k__Eukaryota	102748
k__Eukaryota|k__Viridiplantae	54993
k__Eukaryota|k__Viridiplantae|p__Streptophyta	54279
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	713
k__Eukaryota|k__Fungi	24345
k__Eukaryota|k__Fungi|p__Ascomycota	23299
k__Eukaryota|k__Fungi|p__Basidiomycota	1045
k__Eukaryota|k__Fungi|p__Microsporidia	1
k__Eukaryota|k__Metazoa	23246
k__Eukaryota|k__Metazoa|p__Chordata	23246
k__Eukaryota|p__Apicomplexa	51
k__Eukaryota|p__Bacillariophyta	46
k__Eukaryota|p__Cercozoa	20
k__Eukaryota|p__Evosea	22
k__Eukaryota|p__Euglenozoa	21
k__Eukaryota|p__Fornicata	1
k__Archaea	146
k__Archaea|p__Euryarchaeota	134
k__Archaea|p__Thaumarchaeota	7
k__Archaea|p__Crenarchaeota	4
k__Viruses	41
k__Viruses|k__Heunggongvirae	37
k__Viruses|k__Heunggongvirae|p__Uroviricota	37
k__Viruses|k__Orthornavirae	2
k__Viruses|k__Orthornavirae|p__Pisuviricota	2
k__Viruses|k__Bamfordvirae	2
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	2
