#Classification	S-27-POLPIL-G_bracken_O.kreport
k__Bacteria	306298
k__Bacteria|p__Proteobacteria	223139
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	138795
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	72183
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	47672
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	14682
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	2759
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1370
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	71
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	8
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	28
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	6
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	8
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	72044
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	70458
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	1068
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	205
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	312
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	11506
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	3949
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2252
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	3087
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	273
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	174
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	55
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	435
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	69
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	32
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	848
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	50
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	39
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	19
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	9
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	18
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	13
