#Classification	SRR20002403_bracken_P.kreport
k__Bacteria	51097
k__Bacteria|p__Proteobacteria	46434
k__Bacteria|p__Actinobacteria	1887
k__Bacteria|p__Firmicutes	2707
k__Bacteria|p__Deinococcus-Thermus	36
k__Bacteria|p__Bacteroidetes	28
k__Bacteria|p__Chlamydiae	3
k__Eukaryota	3114
k__Eukaryota|k__Metazoa	2910
k__Eukaryota|k__Metazoa|p__Chordata	2910
k__Eukaryota|k__Fungi	162
k__Eukaryota|k__Fungi|p__Basidiomycota	108
k__Eukaryota|k__Fungi|p__Ascomycota	53
k__Eukaryota|k__Viridiplantae	39
k__Eukaryota|k__Viridiplantae|p__Streptophyta	39
k__Eukaryota|p__Apicomplexa	2
k__Viruses	6
k__Viruses|k__Heunggongvirae	6
k__Viruses|k__Heunggongvirae|p__Uroviricota	6
