#Classification	W-2-POLJUN-G_bracken_P.kreport
k__Bacteria	49681
k__Bacteria|p__Proteobacteria	39351
k__Bacteria|p__Actinobacteria	6460
k__Bacteria|p__Firmicutes	74
k__Bacteria|p__Cyanobacteria	1
k__Bacteria|p__Acidobacteria	2936
k__Bacteria|p__Bacteroidetes	856
k__Bacteria|p__Planctomycetes	1
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	4900
k__Eukaryota|k__Viridiplantae	4465
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4465
k__Eukaryota|k__Metazoa	426
k__Eukaryota|k__Metazoa|p__Chordata	426
k__Eukaryota|k__Fungi	7
k__Eukaryota|k__Fungi|p__Basidiomycota	1
k__Eukaryota|k__Fungi|p__Ascomycota	6
