#Classification	S-20-POLPIL-G_bracken_P.kreport
k__Eukaryota	128830
k__Eukaryota|k__Viridiplantae	120863
k__Eukaryota|k__Viridiplantae|p__Streptophyta	120841
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	22
k__Eukaryota|k__Metazoa	7160
k__Eukaryota|k__Metazoa|p__Chordata	7160
k__Eukaryota|k__Fungi	799
k__Eukaryota|k__Fungi|p__Ascomycota	767
k__Eukaryota|k__Fungi|p__Basidiomycota	32
k__Eukaryota|p__Cercozoa	2
k__Eukaryota|p__Bacillariophyta	2
k__Eukaryota|p__Apicomplexa	2
k__Bacteria	119213
k__Bacteria|p__Proteobacteria	100361
k__Bacteria|p__Actinobacteria	11710
k__Bacteria|p__Cyanobacteria	1986
k__Bacteria|p__Firmicutes	20
k__Bacteria|p__Chloroflexi	8
k__Bacteria|p__Deinococcus-Thermus	6
k__Bacteria|p__Armatimonadetes	2
k__Bacteria|p__Acidobacteria	4002
k__Bacteria|p__Bacteroidetes	887
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Planctomycetes	196
k__Bacteria|p__Verrucomicrobia	11
k__Bacteria|p__Chlamydiae	8
k__Bacteria|p__Spirochaetes	9
k__Bacteria|p__Candidatus_Saccharibacteria	1
