#Classification	S-16-POLPIL-G_bracken_P.kreport
k__Bacteria	12820
k__Bacteria|p__Proteobacteria	11168
k__Bacteria|p__Actinobacteria	1109
k__Bacteria|p__Cyanobacteria	6
k__Bacteria|p__Firmicutes	247
k__Bacteria|p__Bacteroidetes	199
k__Bacteria|p__Acidobacteria	86
k__Bacteria|p__Planctomycetes	2
k__Eukaryota	2013
k__Eukaryota|k__Viridiplantae	1609
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1609
k__Eukaryota|k__Metazoa	314
k__Eukaryota|k__Metazoa|p__Chordata	314
k__Eukaryota|k__Fungi	89
k__Eukaryota|k__Fungi|p__Ascomycota	89
