#Classification	SRR20002381_bracken_C.kreport
k__Bacteria	22396
k__Bacteria|p__Proteobacteria	12035
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	9725
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1871
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	236
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	202
k__Bacteria|p__Firmicutes	6911
k__Bacteria|p__Firmicutes|c__Bacilli	6848
k__Bacteria|p__Firmicutes|c__Clostridia	47
k__Bacteria|p__Firmicutes|c__Tissierellia	9
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	6
k__Bacteria|p__Deinococcus-Thermus	2211
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	2211
k__Bacteria|p__Actinobacteria	1133
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1132
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	1
k__Bacteria|p__Chloroflexi	4
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	4
k__Bacteria|p__Bacteroidetes	94
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	38
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	31
k__Bacteria|p__Bacteroidetes|c__Cytophagia	18
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	6
k__Bacteria|p__Acidobacteria	4
k__Bacteria|p__Acidobacteria|c__Blastocatellia	4
k__Bacteria|p__Deferribacteres	1
k__Bacteria|p__Deferribacteres|c__Deferribacteres	1
k__Eukaryota	5677
k__Eukaryota|k__Metazoa	4500
k__Eukaryota|k__Metazoa|p__Chordata	4500
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	4500
k__Eukaryota|k__Fungi	52
k__Eukaryota|k__Fungi|p__Basidiomycota	37
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	37
k__Eukaryota|k__Fungi|p__Ascomycota	14
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	7
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	3
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	4
k__Eukaryota|p__Apicomplexa	1118
k__Eukaryota|p__Apicomplexa|c__Conoidasida	1118
k__Eukaryota|k__Viridiplantae	6
k__Eukaryota|k__Viridiplantae|p__Streptophyta	6
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	6
k__Archaea	7
k__Archaea|p__Euryarchaeota	7
k__Archaea|p__Euryarchaeota|c__Halobacteria	7
k__Viruses	3
k__Viruses|k__Heunggongvirae	3
k__Viruses|k__Heunggongvirae|p__Uroviricota	3
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	3
