#Classification	S-1-POLJUN-B_bracken_P.kreport
k__Bacteria	76813
k__Bacteria|p__Proteobacteria	71126
k__Bacteria|p__Actinobacteria	4546
k__Bacteria|p__Cyanobacteria	105
k__Bacteria|p__Firmicutes	23
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Bacteroidetes	560
k__Bacteria|p__Acidobacteria	414
k__Bacteria|p__Planctomycetes	25
k__Bacteria|p__Verrucomicrobia	8
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	198
k__Eukaryota|k__Metazoa	109
k__Eukaryota|k__Metazoa|p__Chordata	109
k__Eukaryota|k__Fungi	7
k__Eukaryota|k__Fungi|p__Ascomycota	6
k__Eukaryota|k__Fungi|p__Basidiomycota	1
k__Eukaryota|k__Viridiplantae	81
k__Eukaryota|k__Viridiplantae|p__Streptophyta	81
