#Classification	S-8-POLCOM-B_bracken_P.kreport
k__Bacteria	79068
k__Bacteria|p__Proteobacteria	62383
k__Bacteria|p__Cyanobacteria	7551
k__Bacteria|p__Actinobacteria	5883
k__Bacteria|p__Firmicutes	490
k__Bacteria|p__Armatimonadetes	2
k__Bacteria|p__Acidobacteria	2078
k__Bacteria|p__Bacteroidetes	375
k__Bacteria|p__Planctomycetes	296
k__Bacteria|p__Verrucomicrobia	5
k__Bacteria|p__Chlamydiae	2
k__Eukaryota	329
k__Eukaryota|k__Metazoa	191
k__Eukaryota|k__Metazoa|p__Chordata	191
k__Eukaryota|k__Fungi	60
k__Eukaryota|k__Fungi|p__Ascomycota	36
k__Eukaryota|k__Fungi|p__Basidiomycota	23
k__Eukaryota|k__Viridiplantae	76
k__Eukaryota|k__Viridiplantae|p__Streptophyta	76
